Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
217453440,"Dream On, Ramona Riley (Clover Lake, #1)",Ashley Herring Blake,"Blake, Ashley Herring",,"=""0593816005""","=""9780593816004""",0,3.73,Berkley,Kindle Edition,412,2025,2025,,2024/08/15,to-read,to-read (#374),to-read,,,,0,0
214152402,We Could Be Rats,Emily R. Austin,"Austin, Emily R.",,"=""1668058146""","=""9781668058145""",0,3.98,Atria Books,Hardcover,256,2025,2025,,2024/08/15,to-read,to-read (#373),to-read,,,,0,0
33585392,"Dear Ijeawele, or A Feminist Manifesto in Fifteen Suggestions",Chimamanda Ngozi Adichie,"Adichie, Chimamanda Ngozi",,"=""""","=""""",5,4.51,Knopf,Hardcover,63,2017,2017,2024/08/04,2023/05/30,,,read,,,,1,0
58541623,An Encore of Roses,S.T. Gibson,"Gibson, S.T.",,"=""""","=""""",0,3.77,Substack,ebook,14,2021,2021,2024/07/27,2023/08/17,,,read,,,,1,0
55311334,The Beautiful Ones,Silvia Moreno-Garcia,"Moreno-Garcia, Silvia",,"=""125078557X""","=""9781250785572""",4,3.84,Tor Books,Kindle Edition,299,2021,2017,2024/07/27,2021/10/04,24-in-24,24-in-24 (#16),read,,,,1,0
207689829,On Call: A Doctor's Journey in Public Service,Anthony Fauci,"Fauci, Anthony",,"=""0593657470""","=""9780593657478""",0,4.53,Viking,Hardcover,464,2024,2024,,2024/07/20,to-read,to-read (#372),to-read,,,,0,0
195790586,The Rom-Commers,Katherine Center,"Center, Katherine",,"=""1250283809""","=""9781250283801""",3,4.06,St. Martin's Press,Hardcover,336,2024,2024,2024/07/15,2023/12/26,,,read,"3.5 last third of the book picked up but there was a lot of telling, not showing and those tended to be the scenes I’d rather see unfold",,,1,0
127306440,"What Feasts at Night (Sworn Soldier, #2)",T. Kingfisher,"Kingfisher, T.",,"=""1250830850""","=""9781250830852""",4,3.80,Tor Nightfire,Hardcover,151,2024,2024,2024/06/30,2023/05/11,,,read,,,,1,0
239381,Just a Mess (A Golden Look-Look Book),Mercer Mayer,"Mayer, Mercer",,"=""0307119483""","=""9780307119483""",0,4.25,Random House Books for Young Readers,Paperback,24,2000,1987,,2024/06/22,,,read,,,,1,0
56271357,Woodland Dance! (Boynton on Board),Sandra Boynton,"Boynton, Sandra",,"=""152351468X""","=""9781523514687""",0,4.25,Workman Kids,Board Book,24,2021,2021,,2024/06/22,,,read,,,,1,0
